league,season,player_id,player_name,team_id,team_code,team_count,age,gp,gs,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,off_rating,def_rating,net_rating,ts_pct,efg_pct,usg_pct,ast_pct,oreb_pct,dreb_pct,reb_pct,pie,poss,pct_pts,pct_reb,pct_ast,source
WNBA,1997,100100,Adrienne Johnson,1611661315,CLE,1,24.0,25,,194.51666666666668,22,58,0.379,2,4,0.5,7,9,0.778,8,14,22,9,5,1,27,11,53,29,94.5,85.5,9.0,0.428,0.397,0.209,0.092,0.048,0.074,0.062,0.022,361,0.155,0.133,0.122,nba_api:leaguedashplayerstats
WNBA,1997,100065,Andrea Congreaves,1611661314,CHA,1,28.0,28,,660.8316666666667,63,126,0.5,18,44,0.409,43,56,0.768,40,93,133,41,16,5,31,52,187,50,93.5,89.7,3.8,0.621,0.571,0.129,0.115,0.067,0.148,0.109,0.131,1204,0.166,0.241,0.145,nba_api:leaguedashplayerstats
WNBA,1997,100059,Andrea Stinson,1611661314,CHA,1,30.0,28,,1011.625,177,396,0.447,25,77,0.325,60,89,0.674,48,107,155,124,43,21,99,55,439,54,92.6,90.1,2.6,0.504,0.479,0.248,0.259,0.053,0.109,0.082,0.145,1859,0.255,0.189,0.279,nba_api:leaguedashplayerstats
WNBA,1997,100094,Anita Maxwell,1611661315,CLE,1,24.0,9,,61.888333333333335,8,25,0.32,0,0,0.0,3,8,0.375,2,10,12,8,4,0,6,5,19,-5,74.6,79.1,-4.5,0.333,0.32,0.246,0.267,0.033,0.159,0.098,0.068,130,0.196,0.286,0.276,nba_api:leaguedashplayerstats
WNBA,1997,100031,Bridget Pettis,1611661317,PHO,1,27.0,28,,831.4316666666666,106,316,0.335,40,131,0.305,97,108,0.898,36,70,106,77,48,11,82,57,349,91,92.1,85.3,6.9,0.48,0.399,0.237,0.198,0.042,0.09,0.065,0.118,1592,0.238,0.158,0.24,nba_api:leaguedashplayerstats
WNBA,1997,100017,Bridgette Gordon,1611661318,SAC,1,31.0,28,,953.5266666666666,130,301,0.432,10,38,0.263,83,106,0.783,66,67,133,75,38,8,80,54,353,-179,88.8,98.3,-9.5,0.508,0.449,0.198,0.161,0.073,0.075,0.074,0.112,1820,0.218,0.181,0.219,nba_api:leaguedashplayerstats
WNBA,1997,100110,Cassandra Crumpton-Moorer,1611661313,NYL,1,35.0,2,,11.033333333333333,1,4,0.25,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,0,2,10,100.0,50.0,50.0,0.25,0.25,0.227,0.167,0.0,0.083,0.0,0.063,20,0.1,0.286,0.167,nba_api:leaguedashplayerstats
WNBA,1997,100079,Catarina Pollini,1611661316,HOU,1,32.0,13,,93.73166666666667,8,22,0.364,0,0,0.0,6,12,0.5,3,9,12,5,3,1,8,21,22,19,81.0,68.7,12.2,0.403,0.364,0.163,0.125,0.039,0.086,0.066,-0.085,189,0.144,0.158,0.185,nba_api:leaguedashplayerstats
WNBA,1997,100022,Chantel Tremitiere,1611661318,SAC,1,28.0,28,,1054.0916666666667,72,200,0.36,8,38,0.211,67,91,0.736,34,95,129,129,54,2,121,79,219,-187,90.8,99.6,-8.8,0.456,0.38,0.153,0.215,0.033,0.097,0.065,0.067,1973,0.122,0.155,0.352,nba_api:leaguedashplayerstats
WNBA,1997,100024,Corissa Yasen,1611661318,SAC,1,24.0,19,,205.21166666666667,21,50,0.42,0,1,0.0,6,12,0.5,10,9,19,6,16,2,15,17,48,-57,82.7,96.8,-14.1,0.434,0.42,0.164,0.064,0.055,0.054,0.054,0.046,364,0.159,0.14,0.098,nba_api:leaguedashplayerstats
WNBA,1997,100073,Cynthia Cooper,1611661316,HOU,1,35.0,28,,981.325,191,407,0.469,67,160,0.419,172,199,0.864,33,77,110,131,58,6,110,69,621,176,98.9,89.0,9.9,0.628,0.552,0.284,0.307,0.037,0.089,0.062,0.235,1797,0.349,0.148,0.386,nba_api:leaguedashplayerstats
WNBA,1997,100005,Daedra Charles,1611661320,LAS,1,29.0,28,,294.645,27,68,0.397,0,2,0.0,12,17,0.706,16,31,47,11,10,10,15,41,66,0,88.3,88.0,0.3,0.437,0.397,0.142,0.069,0.057,0.103,0.081,0.049,547,0.137,0.196,0.108,nba_api:leaguedashplayerstats
WNBA,1997,100028,Danielle Viglione,1611661318,SAC,1,23.0,6,,26.145,2,7,0.286,0,3,0.0,0,0,0.0,0,2,2,1,1,0,0,4,4,-5,88.7,96.3,-7.6,0.286,0.286,0.115,0.063,0.0,0.087,0.04,-0.015,53,0.085,0.105,0.111,nba_api:leaguedashplayerstats
