Season,team_code,playoff_round_reached
1997,HOU,Champion
1997,NYL,Lost Finals
1997,CHA,Lost 1 Round From Title
1997,PHO,Lost 1 Round From Title
1998,HOU,Champion
1998,PHO,Lost Finals
1998,CHA,Lost 1 Round From Title
1998,CLE,Lost 1 Round From Title
1999,HOU,Champion
1999,NYL,Lost Finals
1999,CHA,Lost 1 Round From Title
1999,LAS,Lost 1 Round From Title
1999,DET,Lost 2 Rounds From Title
1999,SAC,Lost 2 Rounds From Title
2000,HOU,Champion
2000,NYL,Lost Finals
2000,CLE,Lost 1 Round From Title
2000,LAS,Lost 1 Round From Title
2000,ORL,Lost 2 Rounds From Title
2000,PHO,Lost 2 Rounds From Title
2000,SAC,Lost 2 Rounds From Title
2000,WAS,Lost 2 Rounds From Title
