league,season,team_id,team_code,team_name,g,w,l,w_pct,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,min,off_rating,def_rating,net_rating,pace,poss,ts_pct,efg_pct,pie,orb_pct,drb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,opp_pts,opp_fgm,opp_fga,opp_ftm,opp_fta,opp_tov,opp_oreb,opp_dreb,source,srs,srs_off,srs_def,sos
WNBA,1997,1611661314,CHA,Charlotte Sting,28,15,13,0.536,719,1651,0.435,110,321,0.343,337,487,0.692,279,635,914,485,219,116,496.0,465,1885,1120.0,91.8,90.2,1.7,87.94,2053,0.505,0.469,0.533,0.339,0.662,0.242,0.295,0.436,0.226,0.338,0.301,1849.0,686.0,1707.0,359.0,513.0,464.0,287.0,597.0,nba_api:leaguedashteamstats,1.2187499999999991,-2.286458333333335,3.505208333333334,-0.0669642857142867
WNBA,1997,1611661315,CLE,Cleveland Rockers,28,15,13,0.536,725,1632,0.444,65,176,0.369,450,623,0.722,266,623,889,456,257,85,526.0,513,1965,1135.0,92.9,90.6,2.3,89.44,2116,0.515,0.464,0.533,0.352,0.659,0.249,0.382,0.449,0.233,0.341,0.311,1915.0,709.0,1714.0,375.0,533.0,493.0,307.0,560.0,nba_api:leaguedashteamstats,1.4375000000000036,0.8645833333333348,0.5729166666666687,-0.34821428571428226
WNBA,1997,1611661316,HOU,Houston Comets,28,18,10,0.643,699,1660,0.421,169,482,0.351,441,592,0.745,317,543,860,384,308,66,493.0,536,2008,1130.0,97.8,89.2,8.6,87.42,2058,0.523,0.472,0.56,0.38,0.622,0.24,0.356,0.445,0.261,0.378,0.334,1835.0,680.0,1630.0,384.0,545.0,538.0,296.0,557.0,nba_api:leaguedashteamstats,5.468750000000009,2.109375000000008,3.3593750000000004,-0.8526785714285623
WNBA,1997,1611661320,LAS,Los Angeles Sparks,28,14,14,0.5,799,1764,0.453,74,246,0.301,400,600,0.667,287,670,957,478,255,131,511.0,580,2072,1133.6,94.5,91.9,2.6,92.65,2192,0.511,0.474,0.536,0.355,0.64,0.233,0.34,0.428,0.226,0.36,0.354,2007.0,722.0,1800.0,465.0,637.0,494.0,326.0,592.0,nba_api:leaguedashteamstats,1.9375000000000062,5.322916666666663,-3.385416666666657,-0.2767857142857082
WNBA,1997,1611661313,NYL,New York Liberty,28,17,11,0.607,709,1717,0.413,93,339,0.274,402,605,0.664,320,600,920,485,289,116,536.0,556,1913,1135.0,89.4,86.3,3.1,90.44,2141,0.482,0.44,0.541,0.372,0.623,0.25,0.353,0.422,0.267,0.377,0.334,1844.0,661.0,1690.0,416.0,564.0,570.0,327.0,604.0,nba_api:leaguedashteamstats,2.093749999999999,-1.4114583333333295,3.5052083333333286,-0.2991071428571437
WNBA,1997,1611661317,PHO,Phoenix Mercury,28,16,12,0.571,649,1744,0.372,131,425,0.308,480,629,0.763,315,589,904,434,340,78,472.0,565,1909,1123.6,90.8,85.9,5.0,90.35,2109,0.472,0.411,0.547,0.36,0.648,0.224,0.361,0.444,0.28,0.352,0.363,1821.0,670.0,1608.0,392.0,583.0,594.0,270.0,644.0,nba_api:leaguedashteamstats,3.3124999999999996,-0.6145833333333375,3.927083333333337,-0.6875000000000004
WNBA,1997,1611661318,SAC,Sacramento Monarchs,28,10,18,0.357,714,1737,0.411,107,346,0.309,385,530,0.726,348,538,886,394,257,55,554.0,571,1920,1130.0,91.0,100.0,-9.0,90.01,2115,0.487,0.442,0.395,0.401,0.607,0.262,0.305,0.484,0.234,0.393,0.352,2122.0,783.0,1739.0,440.0,612.0,497.0,334.0,578.0,nba_api:leaguedashteamstats,-6.500000000000002,-0.31250000000000355,-6.187499999999998,0.9999999999999982
WNBA,1997,1611661319,UTA,Utah Starzz,28,7,21,0.25,667,1781,0.375,106,349,0.304,370,524,0.706,338,612,950,425,252,123,520.0,567,1810,1130.0,84.4,98.3,-13.9,91.05,2145,0.45,0.404,0.374,0.359,0.618,0.242,0.295,0.461,0.214,0.382,0.336,2106.0,777.0,1809.0,437.0,608.0,458.0,328.0,680.0,nba_api:leaguedashteamstats,-8.968750000000004,-3.6718749999999973,-5.296875000000005,1.5312499999999964
WNBA,1998,1611661314,CHA,Charlotte Sting,30,18,12,0.6,798,1855,0.43,105,377,0.279,442,624,0.708,304,677,981,512,273,96,457.0,507,2143,1200.0,96.1,91.6,4.5,89.42,2231,0.503,0.458,0.556,0.336,0.658,0.205,0.336,0.445,0.224,0.342,0.282,2051.0,780.0,1878.0,378.0,529.0,501.0,305.0,663.0,nba_api:leaguedashteamstats,1.970779220779228,0.5315146103896158,1.4392646103896123,-1.0958874458874388
WNBA,1998,1611661315,CLE,Cleveland Rockers,30,20,10,0.667,802,1716,0.467,106,279,0.38,483,631,0.765,227,649,876,574,270,99,528.0,598,2193,1215.0,97.3,93.1,4.1,89.3,2255,0.55,0.498,0.555,0.306,0.634,0.234,0.368,0.458,0.241,0.366,0.341,2110.0,776.0,1835.0,430.0,625.0,546.0,327.0,596.0,nba_api:leaguedashteamstats,2.4114718614718704,2.983712782587789,-0.5722409211159185,-0.4885281385281295
