LEAGUE,SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,SRS
WNBA,1997,1611661314,Charlotte Sting,28,15,13,0.536,67.3,91.8,90.2,1.7,87.94,0.505,1.1249904376577788
WNBA,1997,1611661315,Cleveland Rockers,28,15,13,0.536,70.2,92.9,90.6,2.3,89.44,0.515,1.5624867189691376
WNBA,1997,1611661316,Houston Comets,28,18,10,0.643,71.7,97.8,89.2,8.6,87.42,0.523,5.531202985150744
WNBA,1997,1611661320,Los Angeles Sparks,28,14,14,0.5,74.0,94.5,91.9,2.6,92.65,0.511,1.9374835315217303
WNBA,1997,1611661313,New York Liberty,28,17,11,0.607,68.3,89.4,86.3,3.1,90.44,0.482,2.0937322034186434
WNBA,1997,1611661317,Phoenix Mercury,28,16,12,0.571,68.2,90.8,85.9,5.0,90.35,0.472,3.499970250490867
WNBA,1997,1611661318,Sacramento Monarchs,28,10,18,0.357,68.6,91.0,100.0,-9.0,90.01,0.487,-6.562444219670375
WNBA,1997,1611661319,Utah Starzz,28,7,21,0.25,64.6,84.4,98.3,-13.9,91.05,0.45,-9.187421907538525
WNBA,1998,1611661314,Charlotte Sting,30,18,12,0.6,71.4,96.1,91.6,4.5,89.42,0.503,2.3461183549611335
WNBA,1998,1611661315,Cleveland Rockers,30,20,10,0.667,73.1,97.3,93.1,4.1,89.3,0.55,2.3833369823502513
WNBA,1998,1611661321,Detroit Shock,30,17,13,0.567,69.6,93.3,92.5,0.8,89.68,0.484,-0.257340049291266
WNBA,1998,1611661316,Houston Comets,30,27,3,0.9,76.2,104.1,86.7,17.4,86.76,0.542,11.285950874622772
WNBA,1998,1611661320,Los Angeles Sparks,30,12,18,0.4,71.6,93.6,95.5,-1.9,90.96,0.492,-0.4976159604023778
WNBA,1998,1611661313,New York Liberty,30,18,12,0.6,68.6,93.2,89.5,3.7,87.37,0.499,2.686358635070873
WNBA,1998,1611661317,Phoenix Mercury,30,19,11,0.633,73.9,98.5,90.2,8.3,88.83,0.511,5.7681963455418375
WNBA,1998,1611661318,Sacramento Monarchs,29,7,22,0.241,63.3,87.0,95.4,-8.4,87.06,0.463,-4.2915901089620485
WNBA,1998,1611661319,Utah Starzz,30,8,22,0.267,69.7,90.7,99.6,-8.9,91.42,0.497,-5.800655474348423
WNBA,1998,1611661322,Washington Mystics,29,3,26,0.103,65.0,83.8,103.2,-19.4,92.99,0.468,-13.622759599542752
WNBA,1999,1611661314,Charlotte Sting,32,15,17,0.469,65.8,95.8,97.2,-1.4,82.18,0.516,-1.9373381733894348
