LEAGUE,SEASON,TEAM_ID,TEAM_NAME,PLAYOFF_W,PLAYOFF_L,MADE_PLAYOFFS,CHAMPION
WNBA,2001,1611661314,Charlotte Sting,4,4,True,False
WNBA,2001,1611661315,Cleveland Rockers,1,2,True,False
WNBA,2001,1611661316,Houston Comets,0,2,True,False
WNBA,2001,1611661320,Los Angeles Sparks,6,1,True,True
WNBA,2001,1611661326,Miami Sol,1,2,True,False
WNBA,2001,1611661313,New York Liberty,3,3,True,False
WNBA,2001,1611661318,Sacramento Monarchs,3,2,True,False
WNBA,2001,1611661319,Utah Starzz,0,2,True,False
WNBA,2002,1611661314,Charlotte Sting,0,2,True,False
WNBA,2002,1611661316,Houston Comets,1,2,True,False
WNBA,2002,1611661325,Indiana Fever,1,2,True,False
WNBA,2002,1611661320,Los Angeles Sparks,6,0,True,True
WNBA,2002,1611661313,New York Liberty,4,4,True,False
WNBA,2002,1611661328,Seattle Storm,0,2,True,False
WNBA,2002,1611661319,Utah Starzz,2,3,True,False
WNBA,2002,1611661322,Washington Mystics,3,2,True,False
WNBA,2003,1611661314,Charlotte Sting,0,2,True,False
WNBA,2003,1611661315,Cleveland Rockers,1,2,True,False
WNBA,2003,1611661323,Connecticut Sun,2,2,True,False
WNBA,2003,1611661321,Detroit Shock,6,2,True,True
WNBA,2003,1611661316,Houston Comets,1,2,True,False
WNBA,2003,1611661320,Los Angeles Sparks,5,4,True,False
WNBA,2003,1611661324,Minnesota Lynx,1,2,True,False
WNBA,2003,1611661318,Sacramento Monarchs,3,3,True,False
WNBA,2004,1611661323,Connecticut Sun,5,3,True,False
WNBA,2004,1611661321,Detroit Shock,1,2,True,False
WNBA,2004,1611661320,Los Angeles Sparks,1,2,True,False
WNBA,2004,1611661324,Minnesota Lynx,0,2,True,False
WNBA,2004,1611661313,New York Liberty,2,3,True,False
WNBA,2004,1611661318,Sacramento Monarchs,3,3,True,False
WNBA,2004,1611661328,Seattle Storm,6,2,True,True
WNBA,2004,1611661322,Washington Mystics,1,2,True,False
WNBA,2005,1611661323,Connecticut Sun,5,3,True,False
WNBA,2005,1611661321,Detroit Shock,0,2,True,False
WNBA,2005,1611661316,Houston Comets,2,3,True,False
WNBA,2005,1611661325,Indiana Fever,2,2,True,False
WNBA,2005,1611661320,Los Angeles Sparks,0,2,True,False
WNBA,2005,1611661313,New York Liberty,0,2,True,False
WNBA,2005,1611661318,Sacramento Monarchs,7,1,True,True
WNBA,2005,1611661328,Seattle Storm,1,2,True,False
WNBA,2006,1611661323,Connecticut Sun,3,2,True,False
WNBA,2006,1611661321,Detroit Shock,7,3,True,True
WNBA,2006,1611661316,Houston Comets,0,2,True,False
WNBA,2006,1611661325,Indiana Fever,0,2,True,False
WNBA,2006,1611661320,Los Angeles Sparks,2,3,True,False
WNBA,2006,1611661318,Sacramento Monarchs,6,3,True,False
WNBA,2006,1611661328,Seattle Storm,1,2,True,False
WNBA,2006,1611661322,Washington Mystics,0,2,True,False
WNBA,2007,1611661323,Connecticut Sun,1,2,True,False
WNBA,2007,1611661321,Detroit Shock,6,5,True,False
WNBA,2007,1611661325,Indiana Fever,3,3,True,False
WNBA,2007,1611661313,New York Liberty,1,2,True,False
WNBA,2007,1611661317,Phoenix Mercury,7,2,True,True
WNBA,2007,1611661318,Sacramento Monarchs,1,2,True,False
WNBA,2007,1611661319,San Antonio Silver Stars,2,3,True,False
WNBA,2007,1611661328,Seattle Storm,0,2,True,False
WNBA,2008,1611661323,Connecticut Sun,1,2,True,False
WNBA,2008,1611661321,Detroit Shock,7,2,True,True
WNBA,2008,1611661325,Indiana Fever,1,2,True,False
WNBA,2008,1611661320,Los Angeles Sparks,3,3,True,False
WNBA,2008,1611661313,New York Liberty,3,3,True,False
WNBA,2008,1611661318,Sacramento Monarchs,1,2,True,False
WNBA,2008,1611661319,San Antonio Silver Stars,4,5,True,False
WNBA,2008,1611661328,Seattle Storm,1,2,True,False
WNBA,2009,1611661330,Atlanta Dream,0,2,True,False
WNBA,2009,1611661321,Detroit Shock,3,2,True,False
WNBA,2009,1611661325,Indiana Fever,6,4,True,False
WNBA,2009,1611661320,Los Angeles Sparks,3,3,True,False
WNBA,2009,1611661317,Phoenix Mercury,7,4,True,True
WNBA,2009,1611661319,San Antonio Silver Stars,1,2,True,False
WNBA,2009,1611661328,Seattle Storm,1,2,True,False
WNBA,2009,1611661322,Washington Mystics,0,2,True,False
WNBA,2010,1611661330,Atlanta Dream,4,3,True,False
WNBA,2010,1611661325,Indiana Fever,1,2,True,False
WNBA,2010,1611661320,Los Angeles Sparks,0,2,True,False
WNBA,2010,1611661313,New York Liberty,2,3,True,False
WNBA,2010,1611661317,Phoenix Mercury,2,2,True,False
WNBA,2010,1611661319,San Antonio Silver Stars,0,2,True,False
WNBA,2010,1611661328,Seattle Storm,7,0,True,True
WNBA,2010,1611661322,Washington Mystics,0,2,True,False
WNBA,2011,1611661330,Atlanta Dream,4,4,True,False
WNBA,2011,1611661323,Connecticut Sun,0,2,True,False
WNBA,2011,1611661325,Indiana Fever,3,3,True,False
WNBA,2011,1611661324,Minnesota Lynx,7,1,True,True
WNBA,2011,1611661313,New York Liberty,1,2,True,False
WNBA,2011,1611661317,Phoenix Mercury,2,3,True,False
WNBA,2011,1611661319,San Antonio Silver Stars,1,2,True,False
WNBA,2011,1611661328,Seattle Storm,1,2,True,False
WNBA,2012,1611661330,Atlanta Dream,1,2,True,False
WNBA,2012,1611661323,Connecticut Sun,3,2,True,False
WNBA,2012,1611661325,Indiana Fever,7,3,True,True
WNBA,2012,1611661320,Los Angeles Sparks,2,2,True,False
WNBA,2012,1611661324,Minnesota Lynx,5,4,True,False
WNBA,2012,1611661313,New York Liberty,0,2,True,False
WNBA,2012,1611661319,San Antonio Silver Stars,0,2,True,False
WNBA,2012,1611661328,Seattle Storm,1,2,True,False
WNBA,2013,1611661330,Atlanta Dream,4,4,True,False
WNBA,2013,1611661329,Chicago Sky,0,2,True,False
WNBA,2013,1611661325,Indiana Fever,2,2,True,False
