LEAGUE,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,USG_PCT,TS_PCT,PIE,WIN_SHARES
WNBA,1997,100100,Adrienne Johnson,1611661315,CLE,25,7.8,2.1,0.9,0.4,0.209,0.428,0.022,
WNBA,1997,100065,Andrea Congreaves,1611661314,CHA,28,23.6,6.7,4.8,1.5,0.129,0.621,0.131,
WNBA,1997,100059,Andrea Stinson,1611661314,CHA,28,36.1,15.7,5.5,4.4,0.248,0.504,0.145,
WNBA,1997,100094,Anita Maxwell,1611661315,CLE,9,6.9,2.1,1.3,0.9,0.246,0.333,0.068,
WNBA,1997,100031,Bridget Pettis,1611661317,PHO,28,29.7,12.5,3.8,2.8,0.237,0.48,0.118,
WNBA,1997,100017,Bridgette Gordon,1611661318,SAC,28,34.1,12.6,4.8,2.7,0.198,0.508,0.112,
WNBA,1997,100110,Cassandra Crumpton-Moorer,1611661313,NYL,2,5.5,1.0,1.0,0.5,0.227,0.25,0.063,
WNBA,1997,100079,Catarina Pollini,1611661316,HOU,13,7.2,1.7,0.9,0.4,0.163,0.403,-0.085,
WNBA,1997,100022,Chantel Tremitiere,1611661318,SAC,28,37.6,7.8,4.6,4.6,0.153,0.456,0.067,
WNBA,1997,100024,Corissa Yasen,1611661318,SAC,19,10.8,2.5,1.0,0.3,0.164,0.434,0.046,
WNBA,1997,100073,Cynthia Cooper,1611661316,HOU,28,35.0,22.2,3.9,4.7,0.284,0.628,0.235,
WNBA,1997,100005,Daedra Charles,1611661320,LAS,28,10.5,2.4,1.7,0.4,0.142,0.437,0.049,
WNBA,1997,100028,Danielle Viglione,1611661318,SAC,6,4.4,0.7,0.3,0.2,0.115,0.286,-0.015,
WNBA,1997,100052,Deborah Carter,1611661319,UTA,18,14.7,3.9,2.7,0.4,0.158,0.422,0.048,
WNBA,1997,100064,Debra Williams,1611661314,CHA,10,11.6,2.7,1.3,0.9,0.192,0.308,0.006,
WNBA,1997,100045,Dena Head,1611661319,UTA,27,17.5,5.7,2.3,1.7,0.197,0.494,0.077,
WNBA,1997,100021,Denique Graves,1611661318,SAC,21,3.7,0.8,0.7,0.0,0.243,0.271,-0.173,
WNBA,1997,100043,Elena Baranova,1611661319,UTA,28,32.6,12.2,7.4,2.2,0.212,0.476,0.127,
WNBA,1997,100091,Eva Nemcova,1611661315,CLE,28,33.7,13.7,3.9,2.4,0.198,0.584,0.137,
WNBA,1997,100084,Fran Harris,1611661316,HOU,25,14.8,4.2,2.3,1.0,0.185,0.431,0.083,
